# pixel_no sector_no crate_no pdp_addr pdp_chan pdp_gchan fadc_addr fadc_chan trigger_addr three_pixel_patch four_pixel_patch trace_idx has_pixel ring pixel_x pixel_y pixel_w pixel_q pixel_r pdp_board_rev pixel_dynodes pixel_hv_offset pixel_hv_setpoint pixel_gain_exponent pixel_preamp_gain 
0x143 0 0 0x14 0 48 0x13 3 0x10 4 0 51 1 9 325.000000 274.241378 50.000000 10.000000 -4.000000 0 0 0.000000 0.000000 0.000000 0
0x144 0 0 0x14 7 55 0x13 4 0x10 1 1 52 1 6 175.000000 274.241378 50.000000 7.000000 -1.000000 0 0 0.000000 0.000000 0.000000 0
0x145 0 0 0x14 5 53 0x13 5 0x10 1 1 53 1 6 200.000000 230.940108 50.000000 7.000000 -2.000000 0 0 0.000000 0.000000 0.000000 0
0x146 0 0 0x14 6 54 0x13 6 0x10 1 1 54 1 7 225.000000 274.241378 50.000000 8.000000 -2.000000 0 0 0.000000 0.000000 0.000000 0
0x147 0 0 0x14 4 52 0x13 7 0x10 0 1 55 1 7 250.000000 230.940108 50.000000 8.000000 -3.000000 0 0 0.000000 0.000000 0.000000 0
0x148 0 0 0x14 11 59 0x13 8 0x10 4 2 56 1 10 375.000000 274.241378 50.000000 11.000000 -5.000000 0 0 0.000000 0.000000 0.000000 0
0x149 0 0 0x14 9 57 0x13 9 0x10 0 2 57 1 7 275.000000 187.638837 50.000000 8.000000 -4.000000 0 0 0.000000 0.000000 0.000000 0
0x14a 0 0 0x14 10 58 0x13 10 0x10 4 2 58 1 9 350.000000 230.940108 50.000000 10.000000 -5.000000 0 0 0.000000 0.000000 0.000000 0
0x14b 0 0 0x14 8 56 0x13 11 0x10 0 2 59 1 8 300.000000 230.940108 50.000000 9.000000 -4.000000 0 0 0.000000 0.000000 0.000000 0
0x150 0 0 0x15 3 63 0x13 12 0x10 7 0 60 1 9 100.000000 404.145188 50.000000 7.000000 2.000000 0 0 0.000000 0.000000 0.000000 0
